Athlete_unique_url,Athlete,Trigram,Country,Event,Gender,Sport,Gold,Silver,Bronze,Total,Participations
/olympics/athletes/sh/alison-sheppard-1.html,"Sheppard,Alison",GBR,Great Britain,Summer,Female,Swimming,0,0,0,0,5
/olympics/athletes/sh/brian-shimer-1.html,"Shimer,Brian",USA,United States,Winter,Male,Bobsleigh,0,0,1,1,5
/olympics/athletes/sh/fyodor-shutkov-1.html,"Shutkov,Fyodor",URS,Soviet Union,Summer,Male,Sailing,1,0,0,1,5
/olympics/athletes/sh/hiroyasu-shimizu-1.html,"Shimizu,Hiroyasu",JPN,Japan,Winter,Male,Speed Skating,1,1,1,3,4
/olympics/athletes/sh/kayla-sharland-whitelock-1.html,"Sharland-Whitelock,Kayla",NZL,New Zealand,Summer,Female,Hockey,0,0,0,0,4
/olympics/athletes/sh/shen-xue-1.html,"Shen,Xue",CHN,China,Winter,Female,Figure Skating,1,0,2,3,4
/olympics/athletes/sh/stanislav-shcherbachenya-1.html,"Shcherbachenya,Stanislav",BLR,Belarus,Summer,Male,Rowing,0,0,0,0,4
/olympics/athletes/sh/svetlana-shishkina-malakhova-1.html,"Shishkina-Malakhova,Svetlana",KAZ,Kazakhstan,Winter,Female,Cross Country Skiing,0,0,0,0,4
/olympics/athletes/sh/valentyna-shevchenko-1.html,"Shevchenko,Valentyna",UKR,Ukraine,Winter,Female,Cross Country Skiing,0,0,0,0,5
/olympics/athletes/si/andres-silva-1.html,"Silva,AndrAs",URU,Uruguay,Summer,Male,Athletics,0,0,0,0,4
/olympics/athletes/si/avtar-singh-sohal-1.html,"Singh Sohal,Avtar",KEN,Kenya,Summer,Male,Hockey,0,0,0,0,4
/olympics/athletes/si/carlo-silipo-1.html,"Silipo,Carlo",ITA,Italy,Summer,Male,Water Polo,1,0,1,2,4
/olympics/athletes/si/cristian-simari-birkner-1.html,"Simari Birkner,Cristian",ARG,Argentina,Winter,Male,Alpine Skiing,0,0,0,0,4
/olympics/athletes/si/diederik-simon-1.html,"Simon,Diederik",NED,Netherlands,Summer,Male,Rowing,1,2,0,3,5
/olympics/athletes/si/emanuel-silva-1.html,"Silva,Emanuel",POR,Portugal,Summer,Male,Canoeing,0,1,0,1,4
/olympics/athletes/si/hugo-simon-1.html,"Simon,Hugo",AUT,Austria,Summer,Male,Equestrianism,0,1,0,1,6
/olympics/athletes/si/ileana-silai-1.html,"Silai,Ileana",ROU,Romania,Summer,Female,Athletics,0,1,0,1,4
/olympics/athletes/si/jane-sixsmith-1.html,"Sixsmith,Jane",GBR,Great Britain,Summer,Female,Hockey,0,0,1,1,4
/olympics/athletes/si/jani-sievinen-1.html,"Sievinen,Jani",FIN,Finland,Summer,Male,Swimming,0,1,0,1,4
/olympics/athletes/si/janusz-sidlo-1.html,"SidAo,Janusz",POL,Poland,Summer,Male,Athletics,0,1,0,1,5
/olympics/athletes/si/jay-silvester-1.html,"Silvester,Jay",USA,United States,Summer,Male,Athletics,0,1,0,1,4
/olympics/athletes/si/karni-singh-1.html,"Singh,Karni",IND,India,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/si/lidia-simon-1.html,"Eimon,Lidia",ROU,Romania,Summer,Female,Athletics,0,1,0,1,5
/olympics/athletes/si/macarena-simari-birkner-1.html,"Simari Birkner,Macarena",ARG,Argentina,Winter,Female,Alpine Skiing,0,0,0,0,4
/olympics/athletes/si/manavjit-singh-sandhu-1.html,"Singh Sandhu,Manavjit",IND,India,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/si/mansher-singh-1.html,"Singh,Mansher",IND,India,Summer,Male,Shooting,0,0,0,0,4
/olympics/athletes/si/penny-simmons-1.html,"Simmons,Penny",BER,Bermuda,Summer,Male,Sailing,0,0,0,0,4
/olympics/athletes/si/peter-sidi-1.html,"Sidi,PAter",HUN,Hungary,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/si/randhir-singh-1.html,"Singh,Randhir",IND,India,Summer,Male,Shooting,0,0,0,0,5
/olympics/athletes/si/ratapong-sirasanont-1.html,"Sirasanont,Ratapong",THA,Thailand,Summer,Male,Swimming,0,0,0,0,4
/olympics/athletes/si/roberto-sieburger-1.html,"Sieburger,Roberto",ARG,Argentina,Summer,Male,Sailing,0,0,0,0,5
/olympics/athletes/si/roberto-sighel-1.html,"Sighel,Roberto",ITA,Italy,Winter,Male,Speed Skating,0,0,0,0,5
/olympics/athletes/si/saija-sirvio-tarkki-1.html,"SirviA-Tarkki,Saija",FIN,Finland,Winter,Female,Ice Hockey,0,0,1,1,4
/olympics/athletes/si/sara-simeoni-1.html,"Simeoni,Sara",ITA,Italy,Summer,Female,Athletics,1,2,0,3,4
/olympics/athletes/si/surjeet-singh-panesar-1.html,"Singh Panesar,Surjeet",KEN,Kenya,Summer,Male,Hockey,0,0,0,0,4
/olympics/athletes/si/tomasz-sikora-1.html,"Sikora,Tomasz",POL,Poland,Winter,Male,Biathlon,0,1,0,1,5
